"id","station_id","date","parameter","value","unit"
"3","231","2023-02-21 00:13:54",,"56.00","0.00"
"5","230","2023-02-21 00:20:32",,"12.00","0.00"
"6","232","2023-02-21 00:20:42",,"89.00","0.00"
"7","233","2023-02-21 00:20:55",,"90.00","0.00"
"8","234","2023-02-21 00:21:07",,"45.00","0.00"
"9","235","2023-02-21 00:21:19",,"78.00","0.00"
"10","236","2023-02-21 00:21:30",,"56.00","0.00"
"11","237","2023-02-21 00:21:45",,"87.00","0.00"
"12","238","2023-02-21 00:21:54",,"34.00","0.00"
"13","239","2023-02-21 00:22:03",,"22.00","0.00"
"14","240","2023-02-21 00:22:13",,"88.00","0.00"
